from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
NPVA,NTVA,,0.007393945,0.007986307,0.00876907,0.009456633,0.01037691,0.011445276,0.011233719,0.008800804,0.007690126,0.006727538,0.006315,0.006209221
NPWV,NTWV,,0.007393945,0.007986307,0.00876907,0.009456633,0.01037691,0.011445276,0.011233719,0.008800804,0.007690126,0.006727538,0.006315,0.006209221
% NS,NT,0.0005 % Withdrawals from storage,,,,,,,,,,,,
NT,NT,0.00000002,,,,,,,,,,,,
% Electric generation,,,,,,,,,,,,,,
EN,EL,0.002349,,,,,,,,,,,,
EC,EL,0.002404,,,,,,,,,,,,
ED,EL,0.002159,,,,,,,,,,,,
EG,EL,0.002591,,,,,,,,,,,,
ET,EL,0.003654,,,,,,,,,,,,
EH,EL,0.002835,,,,,,,,,,,,
EW,EL,0.005268,,,,,,,,,,,,
EY,EL,0,,,,,,,,,,,,
EO,EL,0.003048,,,,,,,,,,,,
EP,EL,0.011884,,,,,,,,,,,,
EV,EL,0,,,,,,,,,,,,
EU,EL,0.0028,,,,,,,,,,,,
E1,EL,0,,,,,,,,,,,,
E3,EL,0,,,,,,,,,,,,
E2,EL,0,,,,,,,,,,,,
